ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Xifang-1_i-1,,Xifang,1_i,hou1,hou1,h ou *1/¹,,Chin2015,,,^h ou 1$,default
Baisha-1_i-1,,Baisha,1_i,ho1,ho1,h o *1/¹,,Chin2015,,,^h o 1$,default
Yuanmen-1_i-1,,Yuanmen,1_i,houɁ7,houɁ7,h ou ʔ *7/⁵²,,Chin2015,,,^h ou Ɂ 7$,default
Heitu-1_i-1,,Heitu,1_i,hou1,hou1,h ou *1/¹,,Chin2015,,,^h ou 1$,default
Baoding-1_i-1,,Baoding,1_i,hou1 // de3,hou1,h ou *1/¹,,Chin2015,,,^h ou 1$,default
Baoding-1_i-2,,Baoding,1_i,hou1 // de3,de3,d e *3/³,,Chin2015,,,^d e 3$,default
Zhongsha-1_i-1,,Zhongsha,1_i,hou1,hou1,h ou *1/¹,,Chin2015,,,^h ou 1$,default
Tongzha-1_i-1,,Tongzha,1_i,hou1,hou1,h ou *1/¹,,Chin2015,,,^h ou 1$,default
Qiandui-1_i-1,,Qiandui,1_i,hou1,hou1,h ou *1/¹,,Chin2015,,,^h ou 1$,default
Baocheng-1_i-1,,Baocheng,1_i,hou1,hou1,h ou *1/¹,,Chin2015,,,^h ou 1$,default
Gelong-1_i-1,,Gelong,1_i,kɘ5,kɘ5,k ɘ/ə *5/⁵,,Chin2015,,,^k ɘ 5$,default
Xifang-2_you-1,,Xifang,2_you,meɯ1,meɯ1,m eɯ *1/¹,,Chin2015,,,^m eɯ 1$,default
Baisha-2_you-1,,Baisha,2_you,mə1,mə1,m ə *1/¹,,Chin2015,,,^m ə 1$,default
Yuanmen-2_you-1,,Yuanmen,2_you,meɯɁ8,meɯɁ8,m eɯ ʔ *8/⁵³,,Chin2015,,,^m eɯ Ɂ 8$,default
Heitu-2_you-1,,Heitu,2_you,mɯ1,mɯ1,m ɯ *1/¹,,Chin2015,,,^m ɯ 1$,default
Baoding-2_you-1,,Baoding,2_you,meɯ1,meɯ1,m eɯ *1/¹,,Chin2015,,,^m eɯ 1$,default
Zhongsha-2_you-1,,Zhongsha,2_you,meɯ1,meɯ1,m eɯ *1/¹,,Chin2015,,,^m eɯ 1$,default
Tongzha-2_you-1,,Tongzha,2_you,meɯ1,meɯ1,m eɯ *1/¹,,Chin2015,,,^m eɯ 1$,default
Qiandui-2_you-1,,Qiandui,2_you,meɯ4,meɯ4,m eɯ *4/⁴,,Chin2015,,,^m eɯ 4$,default
Baocheng-2_you-1,,Baocheng,2_you,meɯ1,meɯ1,m eɯ *1/¹,,Chin2015,,,^m eɯ 1$,default
Gelong-2_you-1,,Gelong,2_you,mɔ5,mɔ5,m ɔ *5/⁵,,Chin2015,,,^m ɔ 5$,default
Xifang-3_we-1,,Xifang,3_we,fau1,fau1,f au *1/¹,,Chin2015,,,^f au 1$,default
Baisha-3_we-1,,Baisha,3_we,fə1,fə1,f ə *1/¹,,Chin2015,,,^f ə 1$,default
Yuanmen-3_we-1,,Yuanmen,3_we,feɯɁ7,feɯɁ7,f eɯ ʔ *7/⁵²,,Chin2015,,,^f eɯ Ɂ 7$,default
Heitu-3_we-1,,Heitu,3_we,Ɂa2 rou1,Ɂa2_rou1,ʔ a *2/² + r ou *1/¹,,Chin2015,,,^Ɂ a 2 _ r ou 1$,default
Baoding-3_we-1,,Baoding,3_we,fa1,fa1,f a *1/¹,,Chin2015,,,^f a 1$,default
Zhongsha-3_we-1,,Zhongsha,3_we,Ɂa3tau1,Ɂa3tau1,ʔ a *3/³ t au *1/¹,,Chin2015,,,^Ɂ a 3 t au 1$,default
Tongzha-3_we-1,,Tongzha,3_we,fau1,fau1,f au *1/¹,,Chin2015,,,^f au 1$,default
Qiandui-3_we-1,,Qiandui,3_we,fau1,fau1,f au *1/¹,,Chin2015,,,^f au 1$,default
Baocheng-3_we-1,,Baocheng,3_we,fou1,fou1,f ou *1/¹,,Chin2015,,,^f ou 1$,default
Gelong-3_we-1,,Gelong,3_we,ha5,ha5,h a *5/⁵,,Chin2015,,,^h a 5$,default
Xifang-4_this-1,,Xifang,4_this,nei2,nei2,n ei *2/²,,Chin2015,,,^n ei 2$,default
Baisha-4_this-1,,Baisha,4_this,ne2 // nen3,ne2,n e *2/²,,Chin2015,,,^n e 2$,default
Baisha-4_this-2,,Baisha,4_this,ne2 // nen3,nen3,n e n *3/³,,Chin2015,,,^n e n 3$,default
Yuanmen-4_this-1,,Yuanmen,4_this,ni5,ni5,n i *5/⁵,,Chin2015,,,^n i 5$,default
Heitu-4_this-1,,Heitu,4_this,nei2,nei2,n ei *2/²,,Chin2015,,,^n ei 2$,default
Baoding-4_this-1,,Baoding,4_this,nei2,nei2,n ei *2/²,,Chin2015,,,^n ei 2$,default
Zhongsha-4_this-1,,Zhongsha,4_this,nei2,nei2,n ei *2/²,,Chin2015,,,^n ei 2$,default
Tongzha-4_this-1,,Tongzha,4_this,ni5,ni5,n i *5/⁵,,Chin2015,,,^n i 5$,default
Qiandui-4_this-1,,Qiandui,4_this,nei2,nei2,n ei *2/²,,Chin2015,,,^n ei 2$,default
Baocheng-4_this-1,,Baocheng,4_this,nei5,nei5,n ei *5/⁵,,Chin2015,,,^n ei 5$,default
Gelong-4_this-1,,Gelong,4_this,nɛi3,nɛi3,n ɛi *3/³,,Chin2015,,,^n ɛi 3$,default
Xifang-5_that-1,,Xifang,5_that,ma2,ma2,m a *2/²,,Chin2015,,,^m a 2$,default
Baisha-5_that-1,,Baisha,5_that,na3,na3,n a *3/³,,Chin2015,,,^n a 3$,default
Yuanmen-5_that-1,,Yuanmen,5_that,no5,no5,n o *5/⁵,,Chin2015,,,^n o 5$,default
Heitu-5_that-1,,Heitu,5_that,ma2,ma2,m a *2/²,,Chin2015,,,^m a 2$,default
Baoding-5_that-1,,Baoding,5_that,ma2,ma2,m a *2/²,,Chin2015,,,^m a 2$,default
Zhongsha-5_that-1,,Zhongsha,5_that,na2,na2,n a *2/²,,Chin2015,,,^n a 2$,default
Tongzha-5_that-1,,Tongzha,5_that,ma5,ma5,m a *5/⁵,,Chin2015,,,^m a 5$,default
Qiandui-5_that-1,,Qiandui,5_that,mɔ2,mɔ2,m ɔ *2/²,,Chin2015,,,^m ɔ 2$,default
Baocheng-5_that-1,,Baocheng,5_that,ma5,ma5,m a *5/⁵,,Chin2015,,,^m a 5$,default
Gelong-5_that-1,,Gelong,5_that,hɔ5,hɔ5,h ɔ *5/⁵,,Chin2015,,,^h ɔ 5$,default
Xifang-6_who-1,,Xifang,6_who,Ɂɯ3 ra3,Ɂɯ3_ra3,ʔ ɯ *3/³ + r a *3/³,,Chin2015,,,^Ɂ ɯ 3 _ r a 3$,default
Baisha-6_who-1,,Baisha,6_who,Ɂa1 ra5,Ɂa1_ra5,ʔ a *1/¹ + r a *5/⁵,,Chin2015,,,^Ɂ a 1 _ r a 5$,default
Yuanmen-6_who-1,,Yuanmen,6_who,Ɂa1 ra6,Ɂa1_ra6,ʔ a *1/¹ + r a *6/⁵¹,,Chin2015,,,^Ɂ a 1 _ r a 6$,default
Heitu-6_who-1,,Heitu,6_who,Ɂa3 ra1,Ɂa3_ra1,ʔ a *3/³ + r a *1/¹,,Chin2015,,,^Ɂ a 3 _ r a 1$,default
Baoding-6_who-1,,Baoding,6_who,Ɂɯ3 ra3,Ɂɯ3_ra3,ʔ ɯ *3/³ + r a *3/³,,Chin2015,,,^Ɂ ɯ 3 _ r a 3$,default
Zhongsha-6_who-1,,Zhongsha,6_who,Ɂa3 ra1,Ɂa3_ra1,ʔ a *3/³ + r a *1/¹,,Chin2015,,,^Ɂ a 3 _ r a 1$,default
Tongzha-6_who-1,,Tongzha,6_who,Ɂa3 ra2,Ɂa3_ra2,ʔ a *3/³ + r a *2/²,,Chin2015,,,^Ɂ a 3 _ r a 2$,default
