ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup,Name_in_Source,Chinese_Name
Xifang,Xifang Hlai,hlai1239,,,,19.30,109.24,,Northern Hlai,XF,西方
Baisha,Baisha Hlai,hlai1239,,,,18.65,108.72,,Northern Hlai,BS,白沙
Yuanmen,Yuanmen Hlai,hlai1239,,,,19.11,109.54,,Northern Hlai,YM,元門
Heitu,Heitu Hlai,hlai1239,,,,19.51,108.94,,Southern Hlai,HT,黑土
Baoding,Baoding Hlai,hlai1239,,,,18.77,110.45,,Central Hlai,BD,保定
Zhongsha,Zhongsha Hlai,hlai1239,,,,15.83,114.33,,Central Hlai,ZS,中沙
Tongzha,Tongzha Hlai,hlai1239,,,,18.88,109.67,,Central Hlai,TZ,通什
Qiandui,Quiandui Hlai,hlai1239,,,,18.91,110.04,,Central Hlai,QD,塹對
Baocheng,Baocheng Hlai,hlai1239,,,,18.64,109.70,,Central Hlai,BC,保城
Gelong,Gelong,,,,,19.10,108.65,,,Gelong,哥隆話
