ID,Name,Name_in_Source,SubGroup,Chinese_Name,Glottocode,Latitude,Longitude
Xifang,Xifang Hlai,XF,Northern Hlai,西方,hlai1239,19.30,109.24
Baisha,Baisha Hlai,BS,Northern Hlai,白沙,hlai1239,18.9885359,109.2515665
Yuanmen,Yuanmen Hlai,YM,Northern Hlai,元門,hlai1239,19.11,109.54
Heitu,Heitu Hlai,HT,Southern Hlai,黑土,hlai1239,19.51,108.94
Baoding,Baoding Hlai,BD,Central Hlai,保定,hlai1239,18.77,110.45
Zhongsha,Zhongsha Hlai,ZS,Central Hlai,中沙,hlai1239,18.8010694,108.7668462
Tongzha,Tongzha Hlai,TZ,Central Hlai,通什,hlai1239,18.88,109.67
Qiandui,Quiandui Hlai,QD,Central Hlai,塹對,hlai1239,18.91,110.04
Baocheng,Baocheng Hlai,BC,Central Hlai,保城,hlai1239,18.64,109.70
Gelong,Gelong,Gelong,,哥隆話,,19.10,108.65
