Grapheme	IPA	Examples	Languages	Frequence	Codepoints
$	NULL				
1	*1/¹	ŋuan1_fo1, ŋaːu1_bai4	Gelong, Qiandui, Yuanmen, Baisha, Baoding, Baocheng	7	U+0031
1$	*1/¹	tshai1, ɬa1	Zhongsha, Baoding, Baocheng, Heitu, Xifang, Tongzha, Baisha, Qiandui, Gelong, Yuanmen	100	U+0031 U+0024
2	*2/²	mau2_phe1, mau2_pla2	Gelong, Qiandui, Heitu, Zhongsha, Baisha	6	U+0032
2$	*2/²	nei2, kha:i2	Gelong, Heitu, Zhongsha, Baoding, Xifang, Baisha, Qiandui, Yuanmen, Tongzha, Baocheng	80	U+0032 U+0024
3	*3/³	ba:i3_ba:i3, pai3_khau2	Heitu, Zhongsha, Baoding, Yuanmen, Tongzha, Xifang, Qiandui, Baisha, Baocheng	23	U+0033
3$	*3/³	ɬau3, pha3	Baisha, Baoding, Xifang, Heitu, Zhongsha, Gelong, Yuanmen, Qiandui, Tongzha, Baocheng	100	U+0033 U+0024
4	*4/⁴	pai4_kho5, pai4_khɔ4	Baocheng, Yuanmen	3	U+0034
4$	*4/⁴	van4, fan4	Qiandui, Gelong, Yuanmen, Tongzha, Baocheng, Baisha	81	U+0034 U+0024
5	*5/⁵	mɔ5_miɘ, ki5_feu1	Gelong	2	U+0035
5$	*5/⁵	ɗan5, ɬun5	Gelong, Yuanmen, Tongzha, Qiandui, Baocheng, Baisha	52	U+0035 U+0024
6	*6/⁵¹	phai6_kho5	Qiandui	1	U+0036
6$	*6/⁵¹	ta:u6, ɬoŋ6	Qiandui, Yuanmen, Baocheng, Tongzha	32	U+0036 U+0024
7	*7/⁵²	rik7_rik7, ɬɯk7_kho2	Xifang, Tongzha, Baisha	4	U+0037
7$	*7/⁵²	tshap7, khat7	Zhongsha, Xifang, Yuanmen, Tongzha, Baoding, Baocheng, Qiandui, Heitu, Baisha	94	U+0037 U+0024
8$	*8/⁵³	tɔk8, pɔk8	Baisha, Yuanmen, Qiandui, Tongzha, Baocheng, Xifang	34	U+0038 U+0024
9$	*9/⁵⁴	tat9, Ɂo:Ɂ_9	Heitu, Tongzha, Baoding	4	U+0039 U+0024
^	NULL				
^a	a	au5	Gelong	1	U+005e U+0061
^au	au
^b	b	ba:i3_ba:i3, ben1	Gelong, Heitu, Zhongsha, Qiandui, Yuanmen, Tongzha, Baoding, Baocheng, Baisha, Xifang	24	U+005e U+0062
^d	d	da:u1, dam3	Heitu, Baoding, Yuanmen, Baisha, Xifang, Zhongsha, Qiandui, Tongzha, Baocheng, Gelong	32	U+005e U+0064
^f	f	fei1, fan1	Tongzha, Baisha, Qiandui, Baoding, Baocheng, Gelong, Xifang, Zhongsha, Yuanmen	67	U+005e U+0066
^fh	fʰ	fhei1, fhan1	Yuanmen	5	U+005e U+0066 U+0068
^g	g	ga:n3, gi:u1	Tongzha, Zhongsha, Baoding	13	U+005e U+0067
^gw	g w	gwou3, gwei3	Baoding	2	U+005e U+0067 U+0077
^h	h	hau3, hau1	Baocheng, Gelong, Qiandui, Heitu, Zhongsha, Xifang, Tongzha, Baoding, Yuanmen, Baisha	55	U+005e U+0068
^hw	h w	hwou3, hwom1	Baoding	2	U+005e U+0068 U+0077
^i	i	it2	Gelong	1	U+005e U+0069
^k	k	ku:n1, kɯ2	Gelong, Zhongsha, Yuanmen, Baisha, Xifang, Baoding, Baocheng, Heitu, Tongzha, Qiandui	27	U+005e U+006b
^kh	kʰ	kha:u1, khat7	Gelong, Qiandui, Heitu, Yuanmen, Baocheng, Zhongsha, Xifang, Tongzha, Baoding, Baisha	69	U+005e U+006b U+0068
^l	l	la:i3, li:p7	Gelong, Heitu, Zhongsha, Baocheng, Qiandui, Yuanmen, Baisha, Xifang, Tongzha, Baoding	53	U+005e U+006c
^m	m	meɯ1, ma2	Heitu, Gelong, Qiandui, Tongzha, Baoding, Zhongsha, Yuanmen, Baisha, Xifang, Baocheng	42	U+005e U+006d
^n	n	nam3, nei2	Baisha, Gelong, Heitu, Qiandui, Yuanmen, Zhongsha, Tongzha, Baocheng, Xifang, Baoding	45	U+005e U+006e
^p	p	pleɯ1, plei1	Xifang, Baoding, Baocheng, Zhongsha, Yuanmen, Baisha, Tongzha, Qiandui, Heitu	53	U+005e U+0070
^ph	pʰ	pha3, phe:ŋ1	Qiandui, Heitu, Yuanmen, Baisha, Gelong, Zhongsha, Xifang, Baoding, Baocheng, Tongzha	38	U+005e U+0070 U+0068
^r	r	ra:u1, rou1	Heitu, Zhongsha, Yuanmen, Baisha, Xifang, Tongzha, Baoding	31	U+005e U+0072
^s	s	sen1, sat7	Xifang, Gelong	4	U+005e U+0073
