No	English	XF	BS	YM	HT	BD	ZS	TZ	QD	BC	Gelong
1	I	hou1	ho1	houɁ7	hou1	hou1 // de3	hou1	hou1	hou1	hou1	kɘ5
2	you	meɯ1	mə1	meɯɁ8	mɯ1	meɯ1	meɯ1	meɯ1	meɯ4	meɯ1	mɔ5
3	we	fau1	fə1	feɯɁ7	Ɂa2 rou1	fa1	Ɂa3tau1	fau1	fau1	fou1	ha5
4	this	nei2	ne2 // nen3	ni5	nei2	nei2	nei2	ni5	nei2	nei5	nɛi3
5	that	ma2	na3	no5	ma2	ma2	na2	ma5	mɔ2	ma5	hɔ5
6	who	Ɂɯ3 ra3	Ɂa1 ra5	Ɂa1 ra6	Ɂa3 ra1	Ɂɯ3 ra3	Ɂa3 ra1	Ɂa3 ra2	Ɂai1 la3	Ɂa4 la1	au5
7	what	pɯ3 ra3	mau2 pla2	ma3 ra6	mei3 paŋ3	me3 he3	mau2 phe1	me3 he1	mo2 me:ŋ1	he1	mɔ5 miɘ
8	not	ɣan3	van3	van5	Ɂe:m2	ta1	Ɂe:m2	vei4	van3	vei4	vɛn3
9	all	rik7 rik7	rit7 rit7	bu:i3 bu:i3	ba:i3 ba:i3	ba:i3 ba:i3	ba:i3 ba:i3	ba:i3 ba:i3	ba:i3 ba:i3	ba:i3 ba:i3	nuŋ3
10	many	ɬo:i1	ɬuai1	ɬu:i1	da:i1	ɬo:i1	ɬo:i1	ɬa:i1	ɬa:i1	ɬa:i1	tθɔi1
11	one	tshei3	tsheɯ3	tsɯ2	kɯ2	tsheɯ3	kɯ2	Ɂɯ3	tɯ5	kɯ2	tsi4
12	two	ɬau3	ɬau3	ɬau3	dou3	ɬau3	ɬau3	ɬau3	ɬau3	ɬau3	tθai3
13	big	loŋ1	luŋ1	luŋ4	luŋ1	loŋ1	luŋ1	loŋ1	luŋ4	luŋ1	loŋ1
14	long	ta:u3	ta:u3	ta:u6	na:u3	ta:u3	ta:u3	ta:u6	tha:u6	ta:u6	tsaːu4
15	small	Ɂiȵ2 // tɔk7	tɔk8	tɔk8	tik9	Ɂeȵ2	Ɂin2	tok8	thoɁ8	tɔk8	vɔi3
16	woman	ɬɯk7 kho2	pai3 kho5	pai4 kho5	mei3 khau2	pai3 khau2	pai3 khau2	ɬɯɁ7 kho5	phai6 kho5	pai4 khɔ4	ŋaːu1 bai4
17	man	pha3	pha3	pha3	pha3	pha3	pha3	ɬɯ:Ɂ7	pha3	pha3	phɔ3
18	person	Ɂa:u1	ŋa:u4	ɱa:u5	Ɂa:u2	Ɂa:u1	Ɂa:u1	Ɂa:u1	Ɂa:u1	Ɂa:u1	ŋaːu1
19	fish	ɬa1	ɬa1	ɬa1	da1	ɬa1	ɬa1	ɬa1	ɬa1	ɬa1	ŋɔi1
20	bird	sat7	tshat8	ȵa:u4	tat9	taȶ7	tat7	tat7	tat7	tat7	tshiat2
21	dog	pa1	pa1	pa4	ma1	pa1	pa1	pa4	pha4	pa4	khak5
22	louse	thaɁ1	thaɁ1	than1	then1	than1	than1	than1	than1	than1	ki5 feu1
23	tree	tshai1	tshai1	tshai1	tshai1	tshai1	tshai1	tshai1	tshai1	tshai1	nɛk2
24	seed	faŋ1	faŋ1	fan1	phen1	fan1	fan1	fan1	fan1	fan1	fon1
