CONCEPT	COGNATES_A	COGNATES_B	COGNATES_C	COGNATES_D	COGNATES_E	COGNATES_F	COGNATES_G
I	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng	Baoding 	Gelong				
all	Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng	Xifang, Baisha	Gelong				
ashes	Gelong						
belly	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
big	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
bird	Xifang, Baisha, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong	Yuanmen					
bite	Xifang, Baisha, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng	Yuanmen 	Gelong				
black	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng	Gelong					
blood	Xifang, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong	Baisha					
bone	Yuanmen, Tongzha, Qiandui, Baocheng	Heitu, Zhongsha	Xifang, Baisha, Baoding, Gelong				
breast	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
burn	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
claw	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
cloud	Xifang, Baisha, Yuanmen, Baoding, Zhongsha, Tongzha, Tongzha, Gelong	Xifang, Baoding	Baisha, Yuanmen, Zhongsha				
cold	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng		Gelong				
come	Xifang, Baisha, Yuanmen, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong	Baisha	Yuanmen 	Heitu			
die	Baisha, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng	Xifang	Yuanmen 	Heitu 	Gelong		
